person_id,zone_id,nearest_station_id,walking_distance_m,walking_time_min,price_eur,availability,purpose,choice
1,16,25,1341.5,16.77,0.5,0.837,commute,0
2,28,30,401.5,5.02,1.25,0.486,commute,1
3,79,28,890.4,11.13,1.25,0.893,commute,0
4,8,8,363,4.54,1,0.666,study,1
5,35,8,374,4.68,0.75,0.637,commute,0
6,80,26,588.6,7.36,2,0.473,study,0
7,15,26,1228.7,15.36,0.5,0.623,commute,1
8,74,11,406.5,5.08,1.5,0.77,commute,1
9,41,26,1687.9,21.1,0.5,0.695,study,1
10,62,28,1049.1,13.11,1.25,0.586,commute,1
11,22,20,952.5,11.91,1,0.55,shopping,0
12,27,21,2058.6,25.73,1,0.895,commute,0
13,22,20,1438.7,17.98,0.5,0.734,commute,1
14,72,28,1239.8,15.5,1,0.97,leisure,1
15,5,28,1552.3,19.4,1.5,0.563,leisure,0
16,31,12,516.5,6.46,1,0.214,commute,1
17,41,26,1614.2,20.18,1.25,0.728,leisure,1
18,24,21,1504.3,18.8,1.75,0.762,leisure,0
19,54,14,1400.5,17.51,1.25,0.077,commute,0
20,75,10,1598.2,19.98,1,0.747,commute,1
21,3,12,617.5,7.72,0.75,0.536,commute,0
22,10,11,856.9,10.71,1.75,0.978,commute,0
23,17,3,1575.9,19.7,1.5,0.367,commute,0
24,48,19,507,6.34,1,0.606,study,1
25,17,3,1944.2,24.3,1,0.436,commute,0
26,78,26,725.1,9.06,1.25,0.797,commute,1
27,13,1,1243.5,15.54,1.5,0.751,study,0
28,5,28,1902.8,23.78,1.25,0.725,commute,0
29,34,13,1671,20.89,0.75,0.796,commute,0
30,52,2,522.6,6.53,0.75,0.356,commute,1
31,70,14,1351.5,16.89,0.75,0.314,commute,0
32,52,2,679.2,8.49,1.75,0.534,shopping,0
33,38,23,1868,23.35,0.5,0.524,shopping,0
34,33,18,387.6,4.84,1,0.464,commute,1
35,18,21,555.5,6.94,0.75,0.861,commute,0
36,37,30,2280.1,28.5,1.25,0.44,study,0
37,42,19,1375.3,17.19,1.25,0.965,shopping,1
38,35,8,473.9,5.92,1.75,0.788,commute,1
39,16,25,2127.2,26.59,1.5,0.781,shopping,0
40,31,12,744.8,9.31,0.5,0.371,leisure,0
41,77,27,298.2,3.73,1.5,0.705,commute,1
42,22,20,1107.9,13.85,1.25,0.417,leisure,0
43,2,8,214.9,2.69,1.75,0.709,study,1
44,17,3,1555.4,19.44,0.5,0.436,leisure,0
45,16,25,2104.4,26.31,1.25,0.66,commute,0
46,15,26,1255.2,15.69,1.25,0.487,study,1
47,51,15,670.4,8.38,0.75,0.65,commute,1
48,58,26,1252,15.65,1.75,0.543,study,1
49,67,25,2175.4,27.19,1.5,0.59,commute,0
50,7,26,283.7,3.55,1.5,0.664,shopping,1
51,14,25,1653.4,20.67,1.25,0.599,leisure,1
52,79,28,763,9.54,1.25,0.708,study,1
53,1,19,1523.9,19.05,1,0.826,commute,1
54,32,23,777,9.71,1,0.764,commute,0
55,5,28,1510.8,18.89,1,0.791,commute,0
56,50,25,1285.7,16.07,1,0.666,commute,0
57,80,26,476.3,5.95,1,0.632,leisure,1
58,32,23,827.5,10.34,1.25,0.725,leisure,1
59,25,10,932.6,11.66,1.75,0.536,commute,0
60,50,25,1236.1,15.45,2,0.726,leisure,1
61,51,15,567.5,7.09,1.75,0.48,study,0
62,45,28,1190.5,14.88,1,0.673,leisure,1
63,43,28,2261.6,28.27,1.5,0.922,commute,0
