zone_id,lat,lon,demand
1,41.15621780831932,-8.570534486118662,103
2,41.1965500014487,-8.606505280975867,134
3,41.1812395759268,-8.650365296272103,129
4,41.171906093893796,-8.690466247457096,77
5,41.140921304830975,-8.653352651742651,145
6,41.14091961642354,-8.651222501695988,158
7,41.134065852851776,-8.59055907324929,130
8,41.190632330204245,-8.604366379296719,192
9,41.17207805082203,-8.566918088613551,79
10,41.17956508044573,-8.629167761225707,161
11,41.13144091460071,-8.682060863109255,49
12,41.197893689651345,-8.593013281916551,148
13,41.18827098485603,-8.585882242707466,171
14,41.144863737747485,-8.615808420364576,327
15,41.1427277477045,-8.584354923006817,114
16,41.142838315689744,-8.625930660545341,227
17,41.15129695700717,-8.621590075592701,283
18,41.16673295021426,-8.635868847246217,245
19,41.16023615130495,-8.696187130988385,47
20,41.15038603981387,-8.683816285951004,76
21,41.17282970263057,-8.69528562214699,30
22,41.139764570245646,-8.604538438310433,253
23,41.15045012539747,-8.652846602838551,182
24,41.15564532903056,-8.623714396325294,335
25,41.161924898895194,-8.563865028911087,63
26,41.18496231729751,-8.662606165627668,78
27,41.143977164751085,-8.638442561544656,243
28,41.165996410688955,-8.586667329218542,208
29,41.17146901982034,-8.665680275176257,106
30,41.133251528890405,-8.688453013525681,53
31,41.1725281396331,-8.656537282062935,127
32,41.14193668865811,-8.675816806911898,88
33,41.13455361150897,-8.560545352148615,43
34,41.196421987607735,-8.578781943065337,101
35,41.19759424231522,-8.604989436523436,163
36,41.18658781436815,-8.569280911471843,101
37,41.15132296384214,-8.579449188465134,97
38,41.13683704798045,-8.672014491167094,99
39,41.177896311855854,-8.566116150226504,81
40,41.16081067456177,-8.619098663712652,279
41,41.13854267643914,-8.578883976725391,103
42,41.16466238370779,-8.565586305011477,76
43,41.13240719647807,-8.65229947875422,136
44,41.19365242814552,-8.683492211320848,45
45,41.148114598712006,-8.665809725618708,126
46,41.17637655990478,-8.635933831706062,197
47,41.15181977532626,-8.577297785111627,98
48,41.16640476148245,-8.570890412511549,101
49,41.16826971955403,-8.69895718042032,32
50,41.14293981188679,-8.623387904613365,237
51,41.19787092394352,-8.637388349527683,75
52,41.18425929763528,-8.66668382842939,86
53,41.195764925909494,-8.682020194899946,42
54,41.19263791452994,-8.649357724289455,94
55,41.171852998516776,-8.558563544413122,65
56,41.19453119645162,-8.651519560196887,92
57,41.13619447514364,-8.622181406738495,206
58,41.14371880036934,-8.594547156165724,212
59,41.13316591022374,-8.645455559643105,152
60,41.15277312315343,-8.554232687591856,34
61,41.15720741027827,-8.555632905758683,39
62,41.14899443222418,-8.662232655626195,136
63,41.18801162564064,-8.625412724116142,114
64,41.15497273286855,-8.654868253527484,174
65,41.14966541567812,-8.657273925843379,158
66,41.16798872582108,-8.69446695789682,48
67,41.13986469574824,-8.608565349903015,271
68,41.18615378865279,-8.624598146515671,109
69,41.13521854505758,-8.692278187312501,39
70,41.19908208556204,-8.658203030364508,69
71,41.18405713385077,-8.563760117105003,80
72,41.1439100977074,-8.664065716399953,109
73,41.13038654819866,-8.678265769186316,68
74,41.18708229999184,-8.626582085958365,121
75,41.179480014069334,-8.55215243188341,39
76,41.18103050176287,-8.663691709273275,99
77,41.18398892426802,-8.599179667889118,284
78,41.13518312562139,-8.585757057700693,100
79,41.1550926009981,-8.66435436840114,123
80,41.13811083416676,-8.590767547708221,149
