person_id,zone_id,alternative,station_id,walking_time_min,price_eur,availability,bike_option,chosen
1,64,outside,0,0.0,0.0,0.0,0,1
1,64,station_8,8,88.473,1.25,0.35,1,0
1,64,station_19,19,113.427,1.25,0.9,1,0
1,64,station_25,25,60.627,0.9,0.666,1,0
1,64,station_28,28,4.372,0.9,0.755,1,0
2,72,outside,0,0.0,0.0,0.0,0,1
2,72,station_8,8,108.042,1.25,0.35,1,0
2,72,station_19,19,129.488,1.25,0.9,1,0
2,72,station_25,25,66.488,0.9,0.666,1,0
2,72,station_28,28,17.792,0.9,0.755,1,0
3,62,outside,0,0.0,0.0,0.0,0,0
3,62,station_8,8,101.631,1.25,0.35,1,0
3,62,station_19,19,125.187,1.25,0.9,1,0
3,62,station_25,25,66.178,0.9,0.666,1,0
3,62,station_28,28,10.43,0.9,0.755,1,1
4,68,outside,0,0.0,0.0,0.0,0,1
4,68,station_8,8,30.047,1.25,0.35,1,0
4,68,station_19,19,72.698,1.25,0.9,1,0
4,68,station_25,25,75.575,0.9,0.666,1,0
4,68,station_28,28,63.183,0.9,0.755,1,0
5,40,outside,0,0.0,0.0,0.0,0,1
5,40,station_8,8,50.28,1.25,0.35,1,0
5,40,station_19,19,63.179,1.25,0.9,1,0
5,40,station_25,25,39.841,0.9,0.666,1,0
5,40,station_28,28,54.545,0.9,0.755,1,0
6,9,outside,0,0.0,0.0,0.0,0,0
6,9,station_8,8,60.179,1.25,0.35,1,0
6,9,station_19,19,10.891,1.25,0.9,1,1
6,9,station_25,25,89.553,0.9,0.666,1,0
6,9,station_28,28,128.538,0.9,0.755,1,0
7,67,outside,0,0.0,0.0,0.0,0,1
7,67,station_8,8,75.235,1.25,0.35,1,0
7,67,station_19,19,63.443,1.25,0.9,1,0
7,67,station_25,25,16.514,0.9,0.666,1,0
7,67,station_28,28,71.834,0.9,0.755,1,0
8,17,outside,0,0.0,0.0,0.0,0,1
8,17,station_8,8,63.784,1.25,0.35,1,0
8,17,station_19,19,70.418,1.25,0.9,1,0
8,17,station_25,25,27.153,0.9,0.666,1,0
8,17,station_28,28,50.824,0.9,0.755,1,0
9,67,outside,0,0.0,0.0,0.0,0,1
9,67,station_8,8,75.235,1.25,0.35,1,0
9,67,station_19,19,63.443,1.25,0.9,1,0
9,67,station_25,25,16.514,0.9,0.666,1,0
9,67,station_28,28,71.834,0.9,0.755,1,0
10,67,outside,0,0.0,0.0,0.0,0,0
10,67,station_8,8,75.235,1.25,0.35,1,0
10,67,station_19,19,63.443,1.25,0.9,1,0
10,67,station_25,25,16.514,0.9,0.666,1,1
10,67,station_28,28,71.834,0.9,0.755,1,0
11,25,outside,0,0.0,0.0,0.0,0,1
11,25,station_8,8,71.642,1.25,0.35,1,0
11,25,station_19,19,19.049,1.25,0.9,1,0
11,25,station_25,25,85.268,0.9,0.666,1,0
11,25,station_28,28,130.958,0.9,0.755,1,0
12,71,outside,0,0.0,0.0,0.0,0,1
12,71,station_8,8,58.007,1.25,0.35,1,0
12,71,station_19,19,24.109,1.25,0.9,1,0
12,71,station_25,25,103.797,0.9,0.666,1,0
